date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:03	29811/29811	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:51:00%20GMT	https://w3cart.dexignzone.com/xhtml/index.html?color-theme=color-blue	C:/Users/ASUS/Downloads/final/w3cart.dexignzone.com/xhtml/index5d48.html	(from )
16:27:04	789/789	---MCZ	200	added ('OK')	text/plain	date:Wed,%2013%20May%202026%2013:27:04%20GMT	https://w3cart.dexignzone.com/robots.txt		(from )
16:27:05	1233/1233	---M--	200	added ('OK')	image/png	etag:%224d1-602911af45e80%22	https://w3cart.dexignzone.com/xhtml/assets/images/favicon.png	C:/Users/ASUS/Downloads/final/w3cart.dexignzone.com/xhtml/assets/images/favicon.png	(from https://w3cart.dexignzone.com/xhtml/index.html?color-theme=color-blue)
16:27:06	347/347	---MCZ	200	added ('OK')	application/json	etag:W/%2215b-602913f8d4400%22	https://w3cart.dexignzone.com/xhtml/manifest.json	C:/Users/ASUS/Downloads/final/w3cart.dexignzone.com/xhtml/manifest.json	(from https://w3cart.dexignzone.com/xhtml/index.html?color-theme=color-blue)
16:27:06	11120/11120	---M-Z	200	added ('OK')	text/css	etag:%222b70-5a3845e615180-gzip%22	https://w3cart.dexignzone.com/xhtml/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/Users/ASUS/Downloads/final/w3cart.dexignzone.com/xhtml/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://w3cart.dexignzone.com/xhtml/index.html?color-theme=color-blue)
16:27:06	444/444	---M-Z	200	added ('OK')	text/css	etag:%221bc-5c1b8e2658300-gzip%22	https://w3cart.dexignzone.com/xhtml/assets/vendor/bootstrap-touchspin/dist/jquery.bootstrap-touchspin.min.css	C:/Users/ASUS/Downloads/final/w3cart.dexignzone.com/xhtml/assets/vendor/bootstrap-touchspin/dist/jquery.bootstrap-touchspin.min.css	(from https://w3cart.dexignzone.com/xhtml/index.html?color-theme=color-blue)
16:27:06	151296/151296	---M--	200	added ('OK')	image/png	etag:%2224f00-60e81ab4108c0%22	https://w3cart.dexignzone.com/xhtml/social-image.png	C:/Users/ASUS/Downloads/final/w3cart.dexignzone.com/xhtml/social-image.png	(from https://w3cart.dexignzone.com/xhtml/index.html?color-theme=color-blue)
16:27:06	16465/16465	---M-Z	200	added ('OK')	text/css	etag:%224051-5fd1f8f53ca80-gzip%22	https://w3cart.dexignzone.com/xhtml/assets/vendor/swiper/swiper-bundle.min.css	C:/Users/ASUS/Downloads/final/w3cart.dexignzone.com/xhtml/assets/vendor/swiper/swiper-bundle.min.css	(from https://w3cart.dexignzone.com/xhtml/index.html?color-theme=color-blue)
16:27:06	507931/507931	---MCZ	200	added ('OK')	text/css	etag:%227c01b-602b90fc46b40-gzip%22	https://w3cart.dexignzone.com/xhtml/assets/css/style.css	C:/Users/ASUS/Downloads/final/w3cart.dexignzone.com/xhtml/assets/css/style.css	(from https://w3cart.dexignzone.com/xhtml/index.html?color-theme=color-blue)
16:27:07	29811/29811	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202023%2006:51:00%20GMT	https://w3cart.dexignzone.com/xhtml/index.html	C:/Users/ASUS/Downloads/final/w3cart.dexignzone.com/xhtml/index.html	(from https://w3cart.dexignzone.com/xhtml/index.html?color-theme=color-blue)
